comarca,serventia,codigo_serventia,colunas_nao_correspondentes
CALDAS NOVAS,1a VARA (CIVEL E DA INF. E DA JUV.),11477,
CALDAS NOVAS,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB JURI E EXECUCAO PENAL)",13590,
CALDAS NOVAS,1o JUIZADO ESPECIAL CIVEL E CRIMINAL,11483,
CALDAS NOVAS,"2a VARA (CIVEL, FAZ PUBLICAS ESTADUAL E RESIDUAL E REGISTROS PUBLICOS)",11481,
CALDAS NOVAS,2a VARA CRIMINAL (CRIMES EM GERAL),79336,
CALDAS NOVAS,2o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83796,
CALDAS NOVAS,2o JUIZADO ESPECIAL CIVEL E CRIMINAL,87314,
CALDAS NOVAS,"3a VARA (CIVEL, FAZENDA PUBLICA MUNICIPAL E AMBIENTAL)",79335,
CALDAS NOVAS,3a VARA CRIMINAL (CRIMES EM GERAL),79337,
CALDAS NOVAS,3o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83797,
CALDAS NOVAS,4o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83798,
CALDAS NOVAS,VARA DE FAMILIA E SUCESSOES,13589,
CAMPOS BELOS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81446,
CAMPOS BELOS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81447,
CATALAO,13o CEJUSC REGIONAL VIRTUAL DO INTERIOR,89659,
CATALAO,1a VARA CIVEL,86175,
CATALAO,1a VARA CRIMINAL (CRIMES EM GERAL E EXECUCOES PENAIS),83858,
CATALAO,1a VARA DE FAMILIA E SUCESSOES,82287,
CATALAO,1o JUIZADO ESPECIAL CIVEL E CRIMINAL,11492,
CATALAO,2a VARA CIVEL,86176,
