comarca,serventia,codigo_serventia,colunas_nao_correspondentes
APARECIDA DE GOIANIA,5a VARA CIVEL,13369,
APARECIDA DE GOIANIA,3a VARA CRIMINAL,13370,
APARECIDA DE GOIANIA,2a VARA DE FAMILIA E SUCESSOES,13372,
APARECIDA DE GOIANIA,"VARA DA FAZENDA PUB. MUNICIPAL, DE REG. PUB. E AMBIENTAL",13373,
COCALZINHO DE GOIAS,VARA JUDICIAL,13558,
ITUMBIARA,VARA DE FAMILIA E SUCESSOES,13577,
RIO VERDE,1a VARA DE FAMILIA E SUCESSOES,13579,
RIO VERDE,"VARA DAS FAZ. PUB., DE REG. PUB. E AMB.",13580,
CALDAS NOVAS,VARA DE FAMILIA E SUCESSOES,13589,
CALDAS NOVAS,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB JURI E EXECUCAO PENAL)",13590,
MINEIROS,"2a VARA (CIV, DAS FAZ PUB, DE REG PUB. E AMB.)",13600,
QUIRINOPOLIS,VARA CRIMINAL,13601,
TRINDADE,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E EXECUCAO PENAL)",13602,
SERRANOPOLIS,VARA JUDICIAL,13690,
SANTA HELENA DE GOIAS,JUIZADO ESPECIAL CIVEL E CRIMINAL,13698,
RIO VERDE,2a VARA CRIMINAL (CRIMES EM GERAL),13704,
RIO VERDE,JUIZADO DA INFANCIA E DA JUVENTUDE,13705,
ITUMBIARA,"2a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E CRIMES EM GERAL)",13709,
CATALAO,2o JUIZADO ESPECIAL CIVEL E CRIMINAL,13724,
MONTIVIDIU,VARA JUDICIAL,13737,
MINACU,VARA DAS FAZENDAS PUBLICAS E REGISTRO PUBLICO E DE FAMILIA E SUCESSOES,13745,
GOIANESIA,JUIZADO ESPECIAL CIVEL E CRIMINAL,13799,
FLORES DE GOIAS,VARA JUDICIAL,13804,
CERES,JUIZADO ESPECIAL CIVEL E CRIMINAL,13828,
GOIANIRA,JUIZADO ESPECIAL CIVEL E CRIMINAL,13834,
GOIANIA,13a VARA CIVEL E AMBIENTAL,13837,
GOIANIA,14a VARA CIVEL E AMBIENTAL,13838,
GOIANIA,15a VARA CIVEL E AMBIENTAL,13839,
GOIANIA,16a VARA CIVEL E AMBIENTAL,13840,
AGUAS LINDAS DE GOIAS,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E EXECUCOES PENAIS)",14595,
AGUAS LINDAS DE GOIAS,2a VARA CRIMINAL (CRIMES EM GERAL),14596,
CIDADE OCIDENTAL,VARA CRIMINAL,14597,
CRISTALINA,VARA CRIMINAL,14599,
SANTO ANTONIO DO DESCOBERTO,VARA CRIMINAL,14600,
GOIANIA,17a VARA CIVEL E AMBIENTAL,16429,
GOIANIA,18a VARA CIVEL E AMBIENTAL,16430,
GOIANIA,19a VARA CIVEL E AMBIENTAL,16431,
GOIANIA,1o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,16434,
GOIANIA,2o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,16435,
MARA ROSA,VARA JUDICIAL,17261,
MAURILANDIA,VARA JUDICIAL,17262,
IPORA,"1a VARA (CIV., CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUVENTUDE)",52603,
GOIANIA,11o JUIZADO ESPECIAL CIVEL,52637,
GOIATUBA,"1a VARA (CIVEL, CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUV.)",52647,
URUACU,"1a VARA (CIV., CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUV.)",52648,
GOIANIA,2a VARA DE EXECUCAO PENAL,52652,
